artist_name,track_name,track_id,track_popularity,artist_id,is_running,genre
A Day To Remember,Paranoia,3HhaSocKwTptze7PySNZlW,65,4NiJW4q9ichVqL1aUsgGAN,1,"['alternative metal', 'metalcore', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']"
I Prevail,Come And Get It,44M12pkcMqqdbNNooHCZ6C,65,3Uobr6LgQpBbk6k4QGAb3V,1,"['alternative metal', 'nu-metalcore']"
Amaranthe,Drop Dead Cynical,3X1usZ9bRwbyEjAnkLAJWO,65,2KaW48xlLnXC2v8tvyhWsa,1,"['gothic symphonic metal', 'power metal', 'symphonic metal']"
Parkway Drive,Prey,7lMFAK8dv0QkWpIlZcWQlJ,65,159qqlGwzE04xyqpfAwRLo,1,"['alternative metal', 'australian metalcore', 'melodic metalcore', 'metalcore', 'nu metal']"
Papa Roach,Blood Brothers,2Ll44WxlG2eiqL6NtEnf8M,64,4RddZ3iHvSpGV4dvATac9X,1,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']"
Dope,You Spin Me Round (Like A Record),0Hxty2K8F2DrrCXQyQVpBo,63,7fWgqc4HJi3pcHhK8hKg2p,1,"['alternative metal', 'industrial metal', 'nu metal']"
Seether,Gasoline,5ih5herXfvp5coBVFhmoAW,63,6B5c4sch27tWHAGdarpPaW,1,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
Sick Puppies,Gunfight,0is4yL58CcQ4Gv4WgTGr9N,63,7qAcXJgt1PWnxwUgxMdyuk,1,"['alternative metal', 'nu metal', 'post-grunge']"
Korn,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),65XY6Cx0263J5BPnY8mPyE,62,3RNrq3jvMZxD9ZyoOZbQOD,1,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Parkway Drive,The Void,5znIVOv7RucpCHGkbonySq,63,159qqlGwzE04xyqpfAwRLo,1,"['alternative metal', 'australian metalcore', 'melodic metalcore', 'metalcore', 'nu metal']"
Beast In Black,Blind And Frozen,7iOSeHfKU2EhSKcX7TbjKG,62,0rEuaTPLMhlViNCJrg3NEH,1,"['finnish heavy metal', 'finnish power metal', 'power metal', 'symphonic metal']"
In This Moment,Black Wedding (feat. Rob Halford),3zUwwYcmob803s2Bkck8GY,62,6tbLPxj1uQ6vsRQZI2YFCT,1,"['alternative metal', 'nu metal', 'post-grunge']"
Ghost,Rats,4u39IY2QjY1utpNCCF4is0,61,1Qp56T7n950O3EGMsSl81D,1,"['hard rock', 'metal']"
Trivium,Strife,15zUfY9L1p7bN9JsgaTAP0,61,278ZYwGhdK6QTzE3MFePnP,1,"['alternative metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal', 'post-grunge']"
Rise Against,The Violence,12C6ufD5zOWsQGHQY7aXRM,60,6Wr3hh341P84m3EI8qdn9O,1,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']"
Atreyu,The Time Is Now,0vMpw8pTVb7egqdVaKwy6U,60,3LkSiHbjqOHCKCqBfEZOTv,1,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'post-grunge', 'screamo']"
Rob Zombie,Demon Speeding,605hJIiMrdsUjr4Vx4BFD6,60,3HVdAiMNjYrQIKlOGxoGh5,1,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
Architects,Black Lungs,06BRkkaJsqM9i6VZKDvUlK,60,3ZztVuWxHzNpl0THurTFCv,1,"['mathcore', 'melodic metalcore', 'metalcore', 'progressive metalcore', 'uk metalcore']"
Beast In Black,From Hell With Love,3iKSyNDGzJ3FcjXoDKqehS,60,0rEuaTPLMhlViNCJrg3NEH,1,"['finnish heavy metal', 'finnish power metal', 'power metal', 'symphonic metal']"
Hoobastank,Same Direction,4QVD4vVkYveZuO0xkyi6AX,59,2MqhkhX4npxDZ62ObR5ELO,1,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']"
Bullets And Octane,Pirates,0L639McB94IkUvIgZKM1E5,58,6Ku6HNSfgFrk2c3KIlf2j9,1,[]
Foo Fighters,The Pretender,6HNruFQlzQx4ulL4ppRLYI,57,7jy3rLJdDQY21OgRLCZ9sD,1,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
Arion,At the Break of Dawn,7Afg7GsTbQa9WWbFQINevi,57,0c09mxGbMHuFLpPJMY6JdA,1,"['finnish metal', 'finnish power metal', 'gothic symphonic metal', 'melodic metal', 'symphonic metal']"
Steel Panther,Eyes Of A Panther,1iWLoUrmSLht6keK0436jK,56,3l02WF362j1oHOurzuseBv,1,"['comic metal', 'glam metal', 'sleaze rock']"
FEVER 333,BURN IT,2j02RtZz6v53FRw4oWliZf,56,1B0155rdv175D1tQ8VH7Oy,1,"['la indie', 'nu-metalcore']"
Mark Morton,Cross Off,3EAeH1G0BoxQIX8SmgjqAy,56,5w09r1HW3Dc8BMYIvqbnnF,1,['modern hard rock']
Trivium,The Sin and the Sentence,6156ZPGcezId0Bmw7x7c7K,55,278ZYwGhdK6QTzE3MFePnP,1,"['alternative metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal', 'post-grunge']"
Pop Evil,Breathe Again,1NkHDIbGjHqFjZJrdHjQGZ,55,1pRaG81GsVtaTBuVSpldt2,1,"['alternative metal', 'nu metal', 'post-grunge']"
Korn,Word Up!,6oaCwukRHvb3Q0eBfa9wiI,55,3RNrq3jvMZxD9ZyoOZbQOD,1,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
Bullet For My Valentine,Over It,7qFlhASAQGN8AQUH5CXB8O,55,7iWiAD5LLKyiox2grgfmUT,1,"['alternative metal', 'melodic metalcore', 'nu metal', 'pop punk', 'post-grunge', 'uk metalcore', 'welsh metal']"
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,81,7i9j813KFoSBMldGqlh2Z1,1,"['house', 'pop dance', 'uk dance']"
Peggy Gou,(It Goes Like) Nanana - Edit,23RoR84KodL5HWvUTneQ1w,93,2mLA48B366zkELXYx7hcDN,1,"['electra', 'float house']"
