danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.472,0.6,9,-9.368,0,0.0367,0.508,0.833,0.167,0.195,90.948,audio_features,0WKpYDw1WNmQbFiEURDgeI,spotify:track:0WKpYDw1WNmQbFiEURDgeI,https://api.spotify.com/v1/tracks/0WKpYDw1WNmQbFiEURDgeI,https://api.spotify.com/v1/audio-analysis/0WKpYDw1WNmQbFiEURDgeI,158507,4
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,spotify:track:22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/tracks/22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/audio-analysis/22dUzMFttcR3uU17NcOAIv,179162,4
0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4
0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
0.703,0.925,7,-4.458,0,0.0427,0.0516,0.00835,0.251,0.424,126.005,audio_features,2QsZwIY3oncsQSH0EMmUPr,spotify:track:2QsZwIY3oncsQSH0EMmUPr,https://api.spotify.com/v1/tracks/2QsZwIY3oncsQSH0EMmUPr,https://api.spotify.com/v1/audio-analysis/2QsZwIY3oncsQSH0EMmUPr,164916,4
0.319,0.846,6,-6.109,1,0.0796,0.0103,4.11e-05,0.475,0.0784,139.163,audio_features,5yZvaUVyuXfSVUaMumFi6l,spotify:track:5yZvaUVyuXfSVUaMumFi6l,https://api.spotify.com/v1/tracks/5yZvaUVyuXfSVUaMumFi6l,https://api.spotify.com/v1/audio-analysis/5yZvaUVyuXfSVUaMumFi6l,213019,4
0.421,0.831,4,-5.128,1,0.106,0.0283,0.0,0.464,0.488,134.184,audio_features,76EeScTnI2sCjDY0SfEoSb,spotify:track:76EeScTnI2sCjDY0SfEoSb,https://api.spotify.com/v1/tracks/76EeScTnI2sCjDY0SfEoSb,https://api.spotify.com/v1/audio-analysis/76EeScTnI2sCjDY0SfEoSb,175907,4
0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,audio_features,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,208187,4
0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290,4
0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,audio_features,0b02ZHphmQGm0lRtHyDDTH,spotify:track:0b02ZHphmQGm0lRtHyDDTH,https://api.spotify.com/v1/tracks/0b02ZHphmQGm0lRtHyDDTH,https://api.spotify.com/v1/audio-analysis/0b02ZHphmQGm0lRtHyDDTH,179346,4
0.587,0.806,1,-5.098,1,0.0344,0.00179,1.56e-06,0.0928,0.404,122.971,audio_features,2MaGdDg1cbXTywMf93cEZt,spotify:track:2MaGdDg1cbXTywMf93cEZt,https://api.spotify.com/v1/tracks/2MaGdDg1cbXTywMf93cEZt,https://api.spotify.com/v1/audio-analysis/2MaGdDg1cbXTywMf93cEZt,179758,4
0.799,0.892,10,-4.999,0,0.0358,0.0189,0.00131,0.0591,0.934,125.023,audio_features,3ck2KxuP99yTwWzdf8piiC,spotify:track:3ck2KxuP99yTwWzdf8piiC,https://api.spotify.com/v1/tracks/3ck2KxuP99yTwWzdf8piiC,https://api.spotify.com/v1/audio-analysis/3ck2KxuP99yTwWzdf8piiC,183808,4
0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,audio_features,1gUwi1o1S9W9P0FQgJdY8s,spotify:track:1gUwi1o1S9W9P0FQgJdY8s,https://api.spotify.com/v1/tracks/1gUwi1o1S9W9P0FQgJdY8s,https://api.spotify.com/v1/audio-analysis/1gUwi1o1S9W9P0FQgJdY8s,237200,4
0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,audio_features,6Dy1jexKYriXAVG6evyUTJ,spotify:track:6Dy1jexKYriXAVG6evyUTJ,https://api.spotify.com/v1/tracks/6Dy1jexKYriXAVG6evyUTJ,https://api.spotify.com/v1/audio-analysis/6Dy1jexKYriXAVG6evyUTJ,162604,4
0.626,0.541,11,-7.769,0,0.0502,0.344,1.06e-05,0.121,0.326,124.18,audio_features,2KRZKioWRWSmqo01Uq32RN,spotify:track:2KRZKioWRWSmqo01Uq32RN,https://api.spotify.com/v1/tracks/2KRZKioWRWSmqo01Uq32RN,https://api.spotify.com/v1/audio-analysis/2KRZKioWRWSmqo01Uq32RN,157750,4
0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,audio_features,12PNcnMsjsZ3eHm62t8hiy,spotify:track:12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/tracks/12PNcnMsjsZ3eHm62t8hiy,https://api.spotify.com/v1/audio-analysis/12PNcnMsjsZ3eHm62t8hiy,232507,4
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,audio_features,4DHcnVTT87F0zZhRPYmZ3B,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/tracks/4DHcnVTT87F0zZhRPYmZ3B,https://api.spotify.com/v1/audio-analysis/4DHcnVTT87F0zZhRPYmZ3B,200455,4
0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,audio_features,7FC9Lng8iXU081lbigu8m8,spotify:track:7FC9Lng8iXU081lbigu8m8,https://api.spotify.com/v1/tracks/7FC9Lng8iXU081lbigu8m8,https://api.spotify.com/v1/audio-analysis/7FC9Lng8iXU081lbigu8m8,198733,4
0.68,0.85,10,-2.785,1,0.0661,0.207,1.98e-06,0.339,0.71,124.942,audio_features,1qp0ptMXNg9hqLH8sk7cc2,spotify:track:1qp0ptMXNg9hqLH8sk7cc2,https://api.spotify.com/v1/tracks/1qp0ptMXNg9hqLH8sk7cc2,https://api.spotify.com/v1/audio-analysis/1qp0ptMXNg9hqLH8sk7cc2,202213,4
0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,audio_features,5K6Ssv4Z3zRvxt0P6EKUAP,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/tracks/5K6Ssv4Z3zRvxt0P6EKUAP,https://api.spotify.com/v1/audio-analysis/5K6Ssv4Z3zRvxt0P6EKUAP,183726,4
0.651,0.937,7,-4.078,1,0.0468,0.236,0.0975,0.119,0.666,123.993,audio_features,67eYAnkdTu8BMcIx29z26L,spotify:track:67eYAnkdTu8BMcIx29z26L,https://api.spotify.com/v1/tracks/67eYAnkdTu8BMcIx29z26L,https://api.spotify.com/v1/audio-analysis/67eYAnkdTu8BMcIx29z26L,125179,4
0.676,0.741,11,-8.899,1,0.0321,0.0768,0.0275,0.223,0.22,126.005,audio_features,7Cs64XXRHwh7FY4CwR2aQO,spotify:track:7Cs64XXRHwh7FY4CwR2aQO,https://api.spotify.com/v1/tracks/7Cs64XXRHwh7FY4CwR2aQO,https://api.spotify.com/v1/audio-analysis/7Cs64XXRHwh7FY4CwR2aQO,188571,4
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,audio_features,23RoR84KodL5HWvUTneQ1w,spotify:track:23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w,231545,4
0.653,0.757,7,-5.341,1,0.0294,0.0114,0.00206,0.379,0.42,123.983,audio_features,3lddOGjaShpzoNE7Im666L,spotify:track:3lddOGjaShpzoNE7Im666L,https://api.spotify.com/v1/tracks/3lddOGjaShpzoNE7Im666L,https://api.spotify.com/v1/audio-analysis/3lddOGjaShpzoNE7Im666L,167056,4
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,spotify:track:22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/tracks/22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/audio-analysis/22dUzMFttcR3uU17NcOAIv,179162,4
0.384,0.962,6,-3.076,0,0.102,0.00623,0.0,0.156,0.44,75.122,audio_features,7MloegrrB2jp7SNPMEGWqs,spotify:track:7MloegrrB2jp7SNPMEGWqs,https://api.spotify.com/v1/tracks/7MloegrrB2jp7SNPMEGWqs,https://api.spotify.com/v1/audio-analysis/7MloegrrB2jp7SNPMEGWqs,137600,4
0.687,0.794,1,-6.531,0,0.0594,0.108,0.0,0.112,0.262,123.024,audio_features,1rLX3vtCSy75DSt2qNg7JM,spotify:track:1rLX3vtCSy75DSt2qNg7JM,https://api.spotify.com/v1/tracks/1rLX3vtCSy75DSt2qNg7JM,https://api.spotify.com/v1/audio-analysis/1rLX3vtCSy75DSt2qNg7JM,163000,4
0.789,0.753,3,-6.356,0,0.0457,0.178,0.151,0.102,0.434,124.962,audio_features,7ihVBzv0Gz10R2OnyBDuEk,spotify:track:7ihVBzv0Gz10R2OnyBDuEk,https://api.spotify.com/v1/tracks/7ihVBzv0Gz10R2OnyBDuEk,https://api.spotify.com/v1/audio-analysis/7ihVBzv0Gz10R2OnyBDuEk,194730,4
