artist_name,track_name,track_id,track_popularity,artist_id
WISEKIDS,Go,0N39VNE62y5Ln2z4zWvypj,33,6OXzciYkZCsfLnechSnFR2
INNERVERSE,Allein Allein,2bpHc7nCduKQWJVNqJ4mDj,67,0lIiVp6FVbJR2utszYQhNf
Low Blow,Consumers,3J9tou6tbZLBJ9MrvIA0EK,32,4Jr5ULT8PKTOiBhTUZR9RQ
Martin Jensen,What A Night,2KRZKioWRWSmqo01Uq32RN,56,4ehtJnVumNf6xzSCDk8aLB
BUTTER,No Superstar (feat. Boxter),26rEP2SajbK5tihvIIjyq7,35,5SOSqzQyhsHTTuxAMGPkaO
Ian Storm,Compasso Brasileiro (feat. Denise Krammer),6edsNtaVJzuBJjAGt6IhoX,34,6fllSzvyC7OruOFZisOELq
Willy Beaman,Willing To Give,4tOQlhYV8uAfCHTLctSygb,30,0ZdCJB39o81l85QK7PgTTe
WISEKIDS,Pump Up The Jam,5EMHkOawMV6ziGsWTQ5mww,34,6OXzciYkZCsfLnechSnFR2
SilkandStones,Darkest Before Dawn,1wAWAzMwQZIue5P3tvBAiV,32,2iGG4lhqUPgM5g8bA6YKSj
MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),3rb0tMq42WfggucPm0HHkA,85,0xRXCcSX89eobfrshSVdyu
Bless You,Nostalgia,5mPpZmcET8IClgFoCvX4wc,35,0YFOK5sYNqbCJEgD0xOti9
Badscandal,Obsession,76gGrpTMHp1F5H6bcUjbxl,30,29kaubgb6Esvwu0idVndGy
Mosimann,The Funk Phenomena,76BNldyivp9gtiWEyWYxsM,31,7sAqpkrQBaOkddsv1Tz1XK
RIBOE,Blessings,6g0KrLgEhKk4sLzmiZaLBd,31,0H1jZLyGbur9vHWyUbKgw1
Harrison,Unholy (feat. STORi),7m8NB6FM7ZG9Doxo9WlmeV,34,58O8UPrTdl4u2buM0skj94
Boye & Sigvardt,Move,23JOBt7RV42oB3VGTADrGO,31,5waIYqZSsMaTQqdL4QnqyR
WISEKIDS,Return Of The Mack,3M99nYJGOVmffalATkzDkX,33,6OXzciYkZCsfLnechSnFR2
MÖWE,4AM (feat. Sinikka Monte),7E7uyDsfg2GPq4T2DLQaXP,44,4S8NmgM7oJ188sKp1waZpy
Karma Child,Celebrities,6juvcBLMK4L2GtIA4GzDq6,31,4BThBqcTzRGFRvbddMykk7
David Guetta,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,93,1Cs0zKBU1kc0i8ypK3B9ai
The High,SexyBack,0zwpMtGTR0uPVw212hU65j,31,5mKNjpx3SmjNqtxQTmuo9Z
Gil Glaze,U Can't,6gHEqt6G3zzslXN0i2Xnxs,26,6pNzdcgIaKQKsYNS5agP4V
loafers,Papaoutai,0f01JwLlakcpiGoigEHLSv,31,4O8EiXZbelscSDs7TgOXHc
Elton John,Cold Heart - Claptone Remix,3ck2KxuP99yTwWzdf8piiC,64,3PhoLpVuITZKcymswpck5b
Wadi,Dance So Well,3yMuP1l8BqhaylxWkuCLBm,30,0cg1dZt1fxg4ei0nXsrxNg
Martin Jensen,Days Like This,7DligtoRPXrRqUQRD0wz1n,36,4ehtJnVumNf6xzSCDk8aLB
EC Twins,Let's All Chant,76kEMk3O730fMSvKnHmH9d,30,6QACkIioo2Na2EKEwJzCKK
Adam Juhl,Calm Me Down,6PGn94ZIu6g8nCwOUuxvf2,33,4rn186NqgR9V9p1ogZSEH7
Tom Enzy,All Designer - Tom Enzy Remix,5v5I7Gn4BItEtTtjOqKzq5,33,6Nva7JhU0nL9SZ8ZvJni6O
Harrison,Heat Waves,57lio22IReowFvXxaRGxA4,33,58O8UPrTdl4u2buM0skj94
Kastelo,We Speak No Americano,1oeFuVvnNGCho9zO7WxwLJ,30,2KmU3cHtzAMUFFEQPHF8ON
MÖWE,Good Things,5HqE39vRYVwIXOmMKd9Sb3,43,4S8NmgM7oJ188sKp1waZpy
Harrison,Drowning (feat. Grey Zez),7unT8Xypvywz4uBuCfc7Hg,30,58O8UPrTdl4u2buM0skj94
Dillistone,Over You,0UZS8SBXA00YYxkwrjQqTp,40,7ypPN35cJ9wfF2Zs7aYS33
WISEKIDS,Aloha!,6Un5iA6xu9ciZ4udPqAqYK,41,6OXzciYkZCsfLnechSnFR2
Tom Enzy,Shut Up,3A704fXV313QmV7SIGEdVe,32,6Nva7JhU0nL9SZ8ZvJni6O
Martin Jensen,Don't Play Games (feat. SELAH),0CVbNfzex8UocMlfKhcpQ1,44,4ehtJnVumNf6xzSCDk8aLB
Feb,Don't Stop The Music,7vsNEZ1uhphvl13RmJlZjh,36,6lc0muqqPZVQsaTsNCyuRa
Futuristic Polar Bears,Damaged - 2023 Piano Mix,45McujKVKMLsq8kLazwcRb,29,47v4vGA1qCl7hyevSkpRM7
Avicii,Levels - Radio Edit,5UqCQaDshqbIk3pkhy4Pjg,82,1vCWHaC5f2uS3yhpwWbIA6
Jacob Bech,Can't Go Home,0MnnIjj5ZVEASB9bJPylKO,24,4zX11Ae7Hn6t2Mzvth7eHv
ZEXTONE,IDK,3T72t9omDieTDzkz1zWBT5,28,0t2rVUFJxfR071gkSIwiCC
Carl Clarks,Shape Of My Heart (feat. Only Romeo) - Michael Ford Remix,0OooGQYQ7coGBX3tgdMUJC,25,3OE3dz6RhP1rdri5pcQY0c
Calvin Harris,Feel So Close - Radio Edit,6Wtc1K3dvTIEsWU3rSIZXn,54,7CajNmpbOovFoOoasH2HaY
Sandeville,Vodka Soda,2D2MgergMBwMwgOL0I12d3,29,2l3hKaFThCf5oYsFUv25RH
Kato,Hollaback Girl,2Ze7IymEfWUEWMMJrP3KTz,37,1udruffum7CorOphFUMB9A
Martin Jensen,Running,2VN3QrKl8iAgElarbGLYRC,35,4ehtJnVumNf6xzSCDk8aLB
Foxtrot,Like Someone,5TysSU0Tol3172WR2XSozZ,23,1YolC37cbmV9YZTyDgWBgV
Imanbek,I'm Just Feelin' (Du Du Du),73ThEGwF5i9GrsXXGyZBRa,58,5rGrDvrLOV2VV8SCFVGWlj
Mosimann,No Diggity,1ZRblW8yUDxpcF4gvk5BSC,32,7sAqpkrQBaOkddsv1Tz1XK
WISEKIDS,Technologic,4Xkdfmov7xsPgvoC0nK910,29,6OXzciYkZCsfLnechSnFR2
Martin Jensen,Make My Mind Go (with Jonasu),6TO1XrGYwdw5y6lx3x5Aa7,50,4ehtJnVumNf6xzSCDk8aLB
Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,80,6DgP9otnZw5z6daOntINxp
Martin Jensen,Carry On,3YnOIhATp9QC9OxJb3pDfg,37,4ehtJnVumNf6xzSCDk8aLB
Nightcall,Love You Better,0Vflf9iogDKCaYKRpSwLwU,24,3xFkHylXN9yHzwCQBypRFn
Gaullin,So We Go (feat. Katy Tiz) - Martin Jensen Edit,1eKQ7hVCUHVxFrjBcxJC0V,30,1aQwKFn00nswXRDUDipm0K
MÖWE,Deep End,3jz02A9rGkOVMGuhoE6Edv,38,4S8NmgM7oJ188sKp1waZpy
Tiësto,The Business,6f3Slt0GbA2bPZlz0aIFXN,80,2o5jDhtHVPhrJdv3cEQ99Z
ATB,Your Love (9PM),5YaskwnGDZFDRipaqzbwQx,79,7jZM5w05mGhw6wTB1okhD9
Tom Enzy,Sex On Fire,6997Kt5D5ydzgFhwrVcz1D,31,6Nva7JhU0nL9SZ8ZvJni6O
Karma Child,Drivers License,6xg4Auc6lQ75fTuzckPdMF,48,4BThBqcTzRGFRvbddMykk7
Guns N' Roses,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,85,3qm84nBOXUEQ2vnTfUTTFC
AC/DC,You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,84,711MCceyCBcFnzjGY4Q7Un
The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,89,5NGO30tJxFlKixkPSgXcFE
INXS,Need You Tonight,5eU8qMd0TpaLqTGDZJaLDs,70,1eClJfHLoDI4rZe5HxzBFv
Guns N' Roses,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,88,3qm84nBOXUEQ2vnTfUTTFC
The Clash,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,81,3RGLhK1IP9jnYFH4BRFJBS
Dire Straits,Money for Nothing,4yqtwO7MQIIXqoiRBPHAgR,67,0WwSkZ7LtFUFjGjMZBMt6T
a-ha,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,88,2jzc5TC5TVFLXQlBNiIUzE
Bon Jovi,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,87,58lV9VcRSjABbAbfWS6skp
The White Stripes,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,86,4F84IBURUo98rz4r61KF70
Bryan Adams,Summer Of '69,0GONea6G2XdnHWjNZd6zt3,85,3Z02hBLubJxuFJfhacLSDc
blink-182,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,84,6FBDaR13swtiWwGhX1WQsP
Jimmy Eat World,The Middle,6GG73Jik4jUlQCkKg9JuGO,84,3Ayl7mCk0nScecqOzvNp6s
KISS,I Was Made For Lovin' You,07q0QVgO56EorrSGHC48y3,83,07XSN3sPlIlB2L2XNcTwJw
Michael Jackson,Billie Jean,5ChkMS8OtdzJeqyybCc9R5,83,3fMbdgg4jU18AjLCKBhRSm
Van Halen,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,82,2cnMpRsOVqtPMfq7YiFE6K
Soft Cell,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,82,6aq8T2RcspxVOGgMrTzjWc
Rage Against The Machine,Killing In The Name,59WN2psjkt1tyaxjspN8fp,82,2d0hyoQ5ynDBnkvAbJKORj
The Killers,Somebody Told Me,6PwjJ58I4t7Mae9xfZ9l9v,81,0C0XlULifJtAgn6ZNCW2eu
Tom Petty,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,81,2UZMlIwnkgAEDBsw1Rejkn
Mötley Crüe,Kickstart My Heart,6imjJij6aCM0IbbODUzJQn,81,0cc6vw3VN8YlIcvr1v7tBL
Ozzy Osbourne,Crazy Train,7ACxUo21jtTHzy7ZEV56vU,80,6ZLTlhejhndI4Rh53vYhrY
Europe,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,79,7Js6Lde8thlIHXggv2SCBz
Don Henley,The Boys Of Summer,4gvea7UlDkAvsJBPZAd4oB,79,5dbuFbrHa1SJlQhQX9OUJ2
Simple Minds,Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,79,6hN9F0iuULZYWXppob22Aj
George Michael,Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,79,19ra5tSw0tWufvUp8GotLo
Dexys Midnight Runners,Come On Eileen,3MrWxJaD2AT0W9DjWF64Vm,78,4QTVePrFu1xuGM9K0kNXkk
Foo Fighters,My Hero,4dVbhS6OiYvFikshyaQaCN,78,7jy3rLJdDQY21OgRLCZ9sD
Sum 41,In Too Deep,1HNE2PX70ztbEl6MLxrpNL,78,0qT79UgT5tY4yudH9VfsdT
Heart,Barracuda,4KfSdst7rW39C0sfhArdrz,77,34jw2BbxjoYalTp8cJFCPv
Def Leppard,Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,77,6H1RjVyNruCmrBEWRbD0VZ
Beastie Boys,Sabotage,0Puj4YlTm6xNzDDADXHMI9,77,03r4iKL2g2442PT9n2UKsx
Van Halen,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,77,2cnMpRsOVqtPMfq7YiFE6K
Motörhead,Ace of Spades,6EPRKhUOdiFSQwGBRBbvsZ,77,1DFr97A9HnbV3SKTJFu62M
Twisted Sister,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,77,7b85ve82Sh36a3UAx74wut
Bruce Springsteen,Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,77,3eqjTLE0HfPfh78zjh6TqT
Billy Idol,Rebel Yell,4TIJ7zSBNejpoIPaWpWRKc,77,7lzordPuZEXxwt9aoVZYmG
Sum 41,Fat Lip,4KacUpvbA3Mfo05gttTjhN,76,0qT79UgT5tY4yudH9VfsdT
Dead Or Alive,You Spin Me Round (Like a Record),1ChulFMnwxoD74Me8eX2TU,76,5WWSL6rElJeUk3Uc1S2RyD
Good Charlotte,The Anthem,0BRHnOFm6sjxN1i9LJrUDu,76,5aYyPjAsLj7UzANzdupwnS
Duran Duran,Hungry Like the Wolf - 2009 Remaster,39lSeqnyjZJejRuaREfyLL,76,0lZoBs4Pzo7R89JM9lxwoT
Lit,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z,75,5mgr0FFpvy267wKVAYg8qp
Danzig,Mother,7txxAtOMwLLnQTpKeBL6bp,75,34c4iQ5tkaZKu6Sv28BTde
Tears For Fears,Shout,2gQaQUhDCNGfBVXTvxAmXQ,75,4bthk9UfsYUYdcFyqxmSUU
Bon Jovi,Runaway,0X1sqQ652p1sceKM2nJlIJ,75,58lV9VcRSjABbAbfWS6skp
Scorpions,Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,75,27T030eWyCQRmDyuvr1kxY
Queen,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,75,1dfeR4HaWDbWqFHLkxsg1d
Mötley Crüe,"Girls, Girls, Girls",549Go7a66CX6k523uK9kUv,75,0cc6vw3VN8YlIcvr1v7tBL
The Clash,Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,75,3RGLhK1IP9jnYFH4BRFJBS
Frankie Goes To Hollywood,Relax,2K22nUTdyr48JDwI5t906t,75,1mZu3rO7qSD09GdDpePHhY
Rick Springfield,Jessie's Girl,5RsUlxLto4NZbhJpqJbHfN,74,6IFXsrXBpwbIqtOUOiAa3p
Journey,Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,73,0rvjqX7ttXeg3mTy8Xscbt
Beastie Boys,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,73,03r4iKL2g2442PT9n2UKsx
The Smiths,How Soon Is Now? - 2011 Remaster,1YrnDTqvcnUKxAIeXyaEmU,73,3yY2gUcIsjMr8hjo51PoJ8
Pet Shop Boys,West End Girls - 2018 Remaster,2Di0qFNb7ATroCGB3q0Ka7,73,2ycnb8Er79LoH2AsR5ldjh
Guns N' Roses,You Could Be Mine,0dlTGl67UFWcKupzkxZYOn,73,3qm84nBOXUEQ2vnTfUTTFC
Quiet Riot,Cum on Feel the Noize,3vV3cr2TpPqFk07zxYUbla,73,1dLWg6m8RRhizsdqJbhyj3
The Black Keys,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,73,7mnBLXK823vNxN3UWB7Gfz
Poison,Every Rose Has Its Thorn - Remastered 2003,43GS3mtezoIFiuIZCLLiDY,73,1fBCIkoPOPCDLUxGuWNvyo
The Cult,She Sells Sanctuary,3qLZ866ZfaK0B0R5FIqXLG,72,49DW3KvkyjHO35mK1JnSyS
Prince,When Doves Cry,51H2y6YrNNXcy3dfc3qSbA,72,5a2EaR3hamoenG9rDuVn8j
Blondie,Call Me,7HKxTNVlkHsfMLhigmhC0I,72,4tpUmLEVLCGFr93o8hFFIB
Metallica,One (Remastered),0LAcM6I7ijW4VVW0aytl1t,72,2ye2Wgw4gimLv2eAKyk1NB
